timestamp,target_url,method,status_code,error
2026-05-26T09:12:00.289176,http://127.0.0.1:8080/,GET,0,"HTTPConnectionPool(host='127.0.0.1', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c756f8866c0>: Failed to establish a new connection: [Errno 111] Connection refused'))"
2026-05-26T09:12:00.288234,http://127.0.0.1:8080/,GET,0,"HTTPConnectionPool(host='127.0.0.1', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c756f886ff0>: Failed to establish a new connection: [Errno 111] Connection refused'))"
2026-05-26T09:12:00.289027,http://127.0.0.1:8080/,GET,0,"HTTPConnectionPool(host='127.0.0.1', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c756f887ec0>: Failed to establish a new connection: [Errno 111] Connection refused'))"
2026-05-26T09:12:00.288148,http://127.0.0.1:8080/,GET,0,"HTTPConnectionPool(host='127.0.0.1', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c75707e7c80>: Failed to establish a new connection: [Errno 111] Connection refused'))"
2026-05-26T09:12:00.289274,http://127.0.0.1:8080/,GET,0,"HTTPConnectionPool(host='127.0.0.1', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c756f8a49b0>: Failed to establish a new connection: [Errno 111] Connection refused'))"
2026-05-26T09:12:00.288310,http://127.0.0.1:8080/,GET,0,"HTTPConnectionPool(host='127.0.0.1', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c756f887320>: Failed to establish a new connection: [Errno 111] Connection refused'))"
2026-05-26T09:12:00.289372,http://127.0.0.1:8080/,GET,0,"HTTPConnectionPool(host='127.0.0.1', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c756f886420>: Failed to establish a new connection: [Errno 111] Connection refused'))"
2026-05-26T09:12:00.288884,http://127.0.0.1:8080/,GET,0,"HTTPConnectionPool(host='127.0.0.1', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c756f887a70>: Failed to establish a new connection: [Errno 111] Connection refused'))"
2026-05-26T09:12:00.312195,http://127.0.0.1:8080/,GET,0,"HTTPConnectionPool(host='127.0.0.1', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c756f8876e0>: Failed to establish a new connection: [Errno 111] Connection refused'))"
2026-05-26T09:12:00.312460,http://127.0.0.1:8080/,GET,0,"HTTPConnectionPool(host='127.0.0.1', port=8080): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c756f8a4bc0>: Failed to establish a new connection: [Errno 111] Connection refused'))"
